"volatile.acidity","chlorides","total.sulfur.dioxide","sulphates","alcohol","quality"
0.7,0.076,34,0.56,9.4,5
0.88,0.098,67,0.68,9.8,5
0.76,0.092,54,0.65,9.8,5
0.28,0.075,60,0.58,9.8,6
0.7,0.076,34,0.56,9.4,5
0.66,0.075,40,0.56,9.4,5
0.6,0.069,59,0.46,9.4,5
0.65,0.065,21,0.47,10,7
0.58,0.073,18,0.57,9.5,7
0.5,0.071,102,0.8,10.5,5
0.58,0.097,65,0.54,9.2,5
0.5,0.071,102,0.8,10.5,5
0.615,0.089,59,0.52,9.9,5
0.61,0.114,29,1.56,9.1,5
0.62,0.176,145,0.88,9.2,5
0.62,0.17,148,0.93,9.2,5
0.28,0.092,103,0.75,10.5,7
0.56,0.368,56,1.28,9.3,5
0.59,0.086,29,0.5,9,4
0.32,0.341,56,1.08,9.2,6
0.22,0.077,60,0.53,9.4,6
0.39,0.082,71,0.65,9.7,5
0.43,0.106,37,0.91,9.5,5
0.49,0.084,67,0.53,9.4,5
0.4,0.085,40,0.63,9.7,6
0.39,0.08,23,0.56,9.3,5
0.41,0.08,11,0.59,9.5,5
0.43,0.106,37,0.91,9.5,5
0.71,0.08,35,0.55,9.4,5
0.645,0.082,16,0.59,9.8,6
0.675,0.089,82,0.54,10.1,5
0.685,0.105,37,0.57,10.6,6
0.655,0.083,113,0.66,9.8,5
0.605,0.073,83,0.52,9.4,6
0.32,0.103,50,0.55,9.2,5
0.645,0.086,18,0.55,9.6,6
0.6,0.086,15,0.6,10.8,6
0.38,0.066,30,0.73,9.7,7
1.13,0.172,19,0.48,9.8,4
0.45,0.074,87,0.83,10.5,5
0.45,0.074,87,0.83,10.5,5
0.61,0.088,46,0.51,9.3,4
0.49,0.332,14,0.9,10.5,6
0.66,0.069,23,1.2,10.3,5
0.67,0.05,11,0.52,9.5,5
0.52,0.054,65,0.56,13.1,4
0.935,0.114,114,0.73,9.2,5
0.29,0.113,37,0.58,9.5,5
0.4,0.066,12,0.56,9.2,5
0.31,0.074,96,0.58,9.2,5
0.66,0.074,23,0.74,9.2,5
0.52,0.069,15,0.63,9.4,6
0.5,0.068,14,0.64,9.4,6
0.38,0.081,119,0.56,9.4,5
0.51,0.11,73,0.63,10.2,6
0.62,0.084,45,0.53,9.5,5
0.42,0.07,10,0.63,9.6,5
0.63,0.111,110,0.77,9.4,5
0.59,0.076,54,0.59,10,5
0.39,0.074,46,0.54,9.4,6
0.4,0.079,52,0.64,9.2,5
0.69,0.115,112,0.71,9.3,5
0.52,0.085,35,0.62,9.5,7
0.735,0.081,54,0.57,9.8,5
0.725,0.086,11,0.39,10.9,5
0.725,0.086,11,0.39,10.9,5
0.52,0.079,39,0.58,9.6,5
0.705,0.076,15,0.58,10.7,5
0.32,0.074,65,0.79,10.7,5
0.705,0.074,19,0.95,10.5,6
0.63,0.076,27,0.54,9.5,6
0.67,0.088,96,0.48,9.5,5
0.69,0.084,94,0.48,9.5,5
0.675,0.084,43,0.53,9.2,4
0.32,0.094,83,0.82,9.6,5
0.41,0.093,42,0.66,10.5,5
0.41,0.093,42,0.66,10.5,5
0.785,0.104,30,0.55,10.7,6
0.75,0.086,80,0.52,10.1,5
0.625,0.08,119,1.12,9.1,4
0.45,0.069,15,0.56,9.2,5
0.43,0.464,67,1.28,9.4,5
0.5,0.086,73,0.57,9.1,5
0.67,0.401,51,1.14,9.4,5
0.3,0.069,61,0.78,10.3,6
0.55,0.076,40,0.59,10.1,5
0.49,0.11,136,1.95,9.9,6
